,customer_lifetime_value
368,2457.44
369,3554.85
370,4929.55
371,8036.45
372,4276.92
373,33473.35
374,5960.58
375,44795.47
376,3832.12
377,6837.93
378,5285.27
379,3096.51
380,3589.71
381,2582.41
382,2487.73
383,13575.68
384,4685.5
385,28685.83
386,2764.03
387,6183.11
388,3873.65
389,18929.33
390,5553.3
391,5011.26
392,10442.45
393,2199.62
394,8709.85
395,7484.31
396,2613.02
397,9080.64
398,13770.98
399,2876.82
400,5548.03
401,5097.53
402,24143.88
403,3538.06
404,29091.24
405,19834.2
406,4731.37
407,35537.85
408,34611.38
409,20216.31
410,13976.52
411,5904.09
412,5595.84
413,2294.3
414,6273.91
415,3726.73
416,5285.12
417,5110.68
418,7126.6
419,4601.63
420,9155.24
421,14808.06
422,8901.68
423,5734.6
424,4177.7
425,27776.29
426,10364.35
427,7851.9
428,4772.94
429,14226.5
430,4031.1
431,2794.91
432,4362.93
433,9624.52
434,5015.01
435,6948.42
436,2896.92
437,21903.91
438,9028.82
439,5303.76
440,4165.35
441,5123.77
442,9492.34
443,8204.86
444,9877.3
445,4815.01
446,6277.01
447,8260.64
448,2549.45
449,4502.68
450,3803.92
451,8635.4
452,5510.56
453,3585.88
454,4889.25
455,2756.94
456,3289.55
457,10937.18
458,7375.57
459,10110.78
460,5119.41
461,8533.83
462,2224.77
463,8042.8
464,2554.44
465,18073.94
466,2430.51
467,3167.66
468,5465.6
469,10357.51
470,2537.81
471,2821.95
472,7757.13
473,4079.13
474,5955.54
475,14158.61
476,8487.24
477,6285.48
478,11473.48
479,2310.88
480,23594.68
481,2514.59
482,5380.9
483,4770.55
484,6756.65
485,5936.01
486,3570.76
487,6019.96
488,5426.86
489,2730.31
490,4982.68
491,8769.27
492,4220.61
493,11537.51
494,5887.18
495,4700.58
496,10963.96
497,2523.17
498,3757.8
499,12941.73
500,3764.47
501,6889.56
502,3623.45
503,7582.11
504,8277.75
505,2576.46
506,8205.39
507,19582.47
508,6481.53
509,2599.31
510,9830.34
511,10442.65
512,36057.54
513,8470.04
514,8278.79
515,4788.93
516,3088.0
517,4443.74
518,7984.09
519,7180.97
520,15656.03
521,5780.18
522,20714.94
523,5337.35
524,5050.83
525,5116.62
526,7268.74
527,2616.61
528,3738.44
529,2725.36
530,5453.86
531,6846.15
532,6172.91
533,10346.32
534,6997.01
535,4196.26
536,7858.11
537,6064.34
538,17497.52
539,8970.65
540,5923.12
541,35850.6
542,4331.46
543,13309.34
544,4528.5
545,2791.91
546,8092.88
547,7996.01
548,5129.74
549,5697.18
550,9217.13
551,10208.93
552,4170.69
553,4505.41
554,3107.57
555,5528.66
556,5045.87
557,2962.72
558,8665.96
559,11413.44
560,15488.43
561,6048.57
562,5934.74
563,3543.23
564,3490.03
565,3683.1
566,5989.77
567,12500.84
568,8609.16
569,2497.46
570,7019.18
571,5387.93
572,6165.56
573,2730.2
574,5162.12
575,7937.06
576,8608.16
577,2632.55
578,7785.0
579,8255.76
580,4980.83
581,7457.24
582,12302.76
583,6862.51
584,9048.98
585,5548.03
586,8312.68
587,2389.98
588,4458.11
589,5295.74
590,3839.61
591,3731.5
592,2778.9
593,4016.54
594,8236.92
595,2491.32
596,2908.88
597,4282.95
598,8341.62
599,5090.78
600,7366.19
601,2436.88
602,8852.69
603,23875.48
604,5600.5
605,4636.55
606,7573.35
607,14696.64
608,12298.69
609,7724.84
610,5946.67
611,8000.55
612,6457.56
613,7281.44
614,2592.44
615,4678.42
616,13869.93
617,8717.78
618,5233.99
619,4764.19
620,2472.47
621,5608.32
622,5505.06
623,2606.21
624,10481.94
625,3256.77
626,30475.78
627,6364.9
628,9468.51
629,5631.45
630,7781.0
631,9816.53
632,7519.13
633,10179.72
634,2772.84
635,4037.5
636,21435.88
637,2676.87
638,2523.96
639,6988.4
640,2695.96
641,2673.32
642,12157.33
643,2957.76
644,7433.82
645,3099.54
646,8415.68
647,26843.12
648,13057.17
649,9599.95
650,8535.11
651,8293.48
652,6846.15
653,6636.86
654,5802.84
655,5077.32
656,12427.39
657,10990.59
658,3435.25
659,6624.61
660,5757.44
661,2691.57
662,2886.45
663,5341.44
664,4160.02
665,2846.25
666,4770.26
667,5059.62
668,9095.74
669,2688.86
670,8277.64
671,9057.94
672,3801.75
673,9339.34
674,2520.12
675,4984.1
676,2595.75
677,7437.69
678,14536.79
679,5913.31
680,2771.66
681,29194.37
682,9880.39
683,15114.4
684,5759.91
685,8495.16
686,4381.18
687,6997.83
688,11430.59
689,7482.49
690,8596.92
691,7854.96
692,2582.41
693,2275.36
694,4118.59
695,12157.33
696,5152.82
697,6512.98
698,27789.69
699,4191.97
700,10928.41
701,7615.38
702,2004.35
703,2434.68
704,14195.36
705,9427.68
706,11982.42
707,3102.79
708,4222.63
709,4023.81
710,5297.15
711,21423.64
712,4416.21
713,4639.04
714,4863.54
715,25830.91
716,2974.31
717,2064.46
718,10064.61
719,5500.01
720,5489.21
721,2612.76
722,8573.46
723,24127.5
724,8550.39
725,2308.65
726,4254.62
727,8982.85
728,7868.17
729,7704.25
730,10552.17
731,11681.37
732,8737.84
733,5454.89
734,7705.28
735,7039.26
736,8838.09
737,8733.53
738,9597.47
739,4506.66
740,17857.97
741,4737.87
742,5426.14
743,7998.14
744,2897.62
745,11599.5
746,15147.93
747,5435.77
748,2725.36
749,13297.71
750,9927.05
751,17771.55
752,18269.27
753,2722.21
754,7083.21
755,10179.72
756,5889.51
757,15771.39
758,5288.17
759,27580.55
760,7778.53
761,7341.86
762,7919.2
763,2163.87
764,9787.81
765,5207.64
766,21147.28
767,12280.77
768,2441.39
769,6535.56
770,9206.6
771,4118.59
772,4838.21
773,4625.55
774,14042.1
775,7546.61
776,2514.59
777,5170.36
778,13917.38
779,11318.13
780,4276.36
781,4322.24
782,8002.31
783,3885.46
784,4471.78
785,8496.35
786,22500.88
787,16301.97
788,2319.74
789,8717.05
790,2860.11
791,2453.41
792,5989.77
793,24980.23
794,7482.64
795,2457.58
796,2379.74
797,8286.96
798,2393.92
799,4657.16
800,13197.93
801,2803.92
802,8646.5
803,7425.87
804,4528.74
805,2227.07
806,7292.95
807,3184.36
808,11315.2
809,2530.71
810,18361.56
811,8641.53
812,3278.53
813,5271.98
814,3763.64
815,13955.57
816,5001.53
817,7082.83
818,7619.48
819,12550.88
820,32196.6
821,6793.77
822,5272.32
823,6265.34
824,8547.59
825,2787.42
826,4626.8
827,8663.36
828,3872.22
829,5170.81
830,8960.28
831,5471.83
832,34931.0
833,2620.39
834,19069.5
835,5757.44
836,40224.01
837,2701.49
838,3712.43
839,21850.84
840,7840.17
841,8237.04
842,2243.47
843,8434.46
844,2227.07
845,5170.03
846,2641.45
847,2790.68
848,2745.13
849,7579.53
850,10978.78
851,8255.06
852,4747.73
853,3540.9
854,3436.13
855,2582.19
856,44771.3
857,7396.28
858,4330.8
859,9075.77
860,14635.45
861,5609.08
862,11565.69
863,2771.05
864,8507.13
865,7582.11
866,3323.09
867,5234.33
868,24709.6
869,3123.08
870,2551.23
871,7247.71
872,4538.85
873,2687.31
874,8730.42
875,8332.73
876,2357.75
877,4637.16
878,5357.19
879,5391.97
880,3694.14
881,5040.41
882,27495.42
883,4842.28
884,2678.06
885,5227.1
886,2590.1
887,10536.08
888,8581.28
889,9463.11
890,13441.01
891,3886.5
892,6784.89
893,23594.68
894,2538.63
895,5639.94
896,2459.17
897,2667.27
898,13778.37
899,4923.18
900,2272.34
901,14895.4
902,9756.04
903,9422.97
904,3837.36
905,10952.13
906,8159.14
907,19480.5
908,3919.37
909,7985.14
910,12168.74
911,5849.32
912,5085.84
913,2903.94
914,31162.69
915,3086.87
916,5178.7
917,14024.36
918,10640.94
919,4949.8
920,8595.67
921,22951.89
922,3792.13
923,2755.75
924,4880.34
925,9051.91
926,10115.45
927,8269.08
928,8071.65
929,7726.99
930,8311.14
931,2574.02
932,5727.33
933,5441.42
934,2744.52
935,5636.74
936,16870.39
937,2738.0
938,4644.7
939,4746.69
940,16874.33
941,2387.61
942,2504.91
943,4591.63
944,13092.59
945,9112.27
946,4165.17
947,2659.98
948,11986.59
949,2898.73
950,2894.24
951,3500.45
952,2621.81
953,10221.81
954,2578.27
955,6242.6
956,5220.28
957,9075.77
958,4525.37
959,4970.36
960,15467.79
961,5838.9
962,10656.88
963,2289.62
964,5439.8
965,7956.15
966,4458.11
967,2555.05
968,3308.0
969,5041.3
970,13350.12
971,4931.22
972,7776.84
973,2553.67
974,4876.47
975,9034.31
976,8105.91
977,5619.69
978,15727.13
979,6618.02
980,4670.05
981,10169.37
982,8323.07
983,2417.76
984,8044.87
985,5325.72
986,6947.52
987,5847.42
988,2584.2
989,4724.79
990,2790.23
991,21531.33
992,12622.83
993,20171.96
994,16464.37
995,5595.39
996,4170.69
997,2665.45
998,7098.91
999,3971.35
1000,5528.21
1001,8339.0
1002,38445.86
1003,5448.56
1004,10808.07
1005,6185.1
1006,3208.23
1007,5480.1
1008,22986.15
1009,13107.93
1010,7462.93
1011,11463.99
1012,7236.13
1013,6232.69
1014,28393.33
1015,3746.75
1016,21569.34
1017,5012.08
1018,3371.86
1019,3864.78
1020,4145.71
1021,5156.07
1022,3667.37
1023,7835.68
1024,14567.27
1025,10171.34
1026,4135.78
1027,5511.49
1028,2429.28
1029,5414.62
1030,7421.59
1031,4458.11
1032,14476.12
1033,4936.89
1034,4525.28
1035,6701.77
1036,14134.35
1037,24723.18
1038,2838.07
1039,3848.48
1040,19504.47
1041,26900.27
1042,4361.37
1043,2529.08
1044,2504.44
1045,8649.7
1046,13668.36
1047,20635.08
1048,2517.53
1049,5326.68
1050,2600.27
1051,8534.79
1052,8828.83
1053,2248.45
1054,8861.15
1055,4556.59
1056,2530.71
1057,5251.98
1058,6743.12
1059,14014.72
1060,9438.92
1061,10506.77
1062,4213.92
1063,4773.69
1064,4547.89
1065,2842.27
1066,3059.55
1067,20315.0
1068,3239.12
1069,4626.8
1070,8997.04
1071,25807.06
1072,3808.12
1073,7614.14
1074,6898.46
1075,2298.38
1076,2806.7
1077,5206.12
1078,45708.65
1079,8007.35
1080,2321.88
1081,2463.24
1082,5498.94
1083,5243.83
1084,21639.84
1085,4886.54
1086,4169.36
1087,5479.56
1088,6177.11
1089,8287.68
1090,9886.66
1091,2712.92
1092,10477.68
1093,3436.13
1094,2596.19
1095,12731.95
1096,3494.15
1097,7597.91
1098,4015.21
1099,20477.11
1100,8160.69
1101,12298.69
1102,8714.92
1103,4853.53
1104,4880.95
1105,2311.38
1106,4327.1
1107,12298.69
1108,8323.53
1109,10179.72
1110,7761.27
1111,5239.89
1112,4517.91
1113,2389.77
1114,4130.63
1115,21404.36
1116,5227.77
1117,6187.35
1118,5113.87
1119,11039.32
1120,32227.08
1121,2611.97
1122,13372.33
1123,4838.98
1124,4721.66
1125,3873.65
1126,6770.31
1127,16979.8
1128,13681.71
1129,5717.22
1130,9486.6
1131,3839.14
1132,11211.59
1133,25807.06
1134,3798.32
1135,2816.57
1136,6948.33
1137,3444.97
1138,2859.41
1139,2692.06
1140,11431.73
1141,7635.88
1142,9805.83
1143,6803.62
1144,7107.66
1145,4735.18
1146,6874.33
1147,2411.26
1148,2416.54
1149,23981.54
1150,4692.17
1151,3600.93
1152,2665.22
1153,7666.52
1154,16675.9
1155,4550.86
1156,11763.94
1157,13742.54
1158,16138.42
1159,8819.02
1160,6673.74
1161,7782.13
1162,19393.21
1163,3974.14
1164,4105.58
1165,2308.47
1166,5372.91
1167,5508.32
1168,2398.33
1169,3728.83
1170,2758.5
1171,3703.93
1172,9372.84
1173,4991.58
1174,39400.19
1175,2759.98
1176,7993.0
1177,5235.57
1178,2633.01
1179,2764.8
1180,8084.85
1181,2685.18
1182,12208.12
1183,20090.44
1184,32864.4
1185,2491.32
1186,6314.6
1187,16229.65
1188,5161.79
1189,3982.27
1190,13473.19
1191,6921.97
1192,8276.44
1193,14349.86
1194,5878.2
1195,2666.05
1196,5345.68
1197,4777.12
1198,16973.74
1199,2518.11
1200,19160.99
1201,6273.17
1202,3964.81
1203,4911.77
1204,7805.31
1205,7200.66
1206,5389.5
1207,3241.31
1208,5528.21
1209,7173.91
1210,7076.65
1211,3700.39
1212,5328.84
1213,4838.88
1214,10700.5
1215,7879.93
1216,7869.43
1217,2586.81
1218,7286.79
1219,11797.99
1220,9386.75
1221,6308.92
1222,17484.53
1223,15428.01
1224,5630.79
1225,18131.19
1226,8087.22
1227,18453.58
1228,5217.51
1229,4835.78
1230,5597.12
1231,8920.46
1232,5995.41
1233,38496.95
1234,8382.63
1235,13372.02
1236,8972.14
1237,5405.52
1238,9352.48
1239,4339.87
1240,17723.76
1241,7507.46
1242,8029.39
1243,2831.59
1244,10080.37
1245,6503.4
1246,3331.45
1247,4620.39
1248,2471.53
1249,6494.24
1250,9657.58
1251,4904.89
1252,4802.48
1253,7955.77
1254,6941.9
1255,8382.48
1256,3536.43
1257,3244.82
1258,7611.21
1259,4505.4
1260,2445.84
1261,16477.77
1262,3546.4
1263,4277.27
1264,4784.77
1265,7572.24
1266,11760.88
1267,3933.81
1268,5700.76
1269,3498.63
1270,5768.09
1271,6361.95
1272,6503.4
1273,6832.11
1274,5785.22
1275,5619.69
1276,2599.29
1277,6732.97
1278,18321.87
1279,9102.9
1280,4002.86
1281,8621.0
1282,10388.99
1283,8427.17
1284,7007.27
1285,5176.58
1286,5389.5
1287,4067.0
1288,4434.94
1289,14010.53
1290,12350.06
1291,8161.58
1292,11009.13
1293,8717.05
1294,5917.47
1295,2503.66
1296,12682.25
1297,4330.39
1298,10487.74
1299,3567.5
1300,19896.42
1301,21423.64
1302,5581.76
1303,3515.83
1304,12036.62
1305,3609.8
1306,17732.46
1307,8509.85
1308,5866.42
1309,4825.5
1310,5389.5
1311,7778.01
1312,26346.09
1313,14866.45
1314,8324.23
1315,9238.31
1316,22693.29
1317,6236.02
1318,5012.18
1319,8176.58
1320,2582.86
1321,3118.98
1322,2938.08
1323,6883.69
1324,2215.91
1325,4297.02
1326,21522.95
1327,2761.69
1328,22563.62
1329,5285.92
1330,35062.65
1331,5913.2
1332,2593.4
1333,12692.67
1334,3309.12
1335,4754.45
1336,2413.93
1337,2161.69
1338,5527.99
1339,10629.22
1340,11820.11
1341,4964.63
1342,9122.93
1343,5309.44
1344,3460.67
1345,2872.98
1346,9927.88
1347,3482.69
1348,3991.73
1349,5510.11
1350,3600.93
1351,5419.46
1352,5810.63
1353,3942.73
1354,3126.27
1355,3530.01
1356,5029.3
1357,4772.94
1358,2202.34
1359,8717.05
1360,10373.89
1361,7250.03
1362,4307.42
1363,3040.25
1364,19160.99
1365,5391.08
1366,5285.31
1367,8024.99
1368,2810.46
1369,7739.55
1370,2175.74
1371,3275.16
1372,2652.7
1373,5048.23
1374,5515.41
1375,4858.43
1376,2144.92
1377,6042.62
1378,3387.2
1379,10864.27
1380,8842.65
1381,4389.28
1382,30763.26
1383,20725.38
1384,8591.31
1385,2646.57
1386,4607.24
1387,4860.62
1388,2580.85
1389,8646.5
1390,8405.75
1391,3096.51
1392,29412.29
1393,5898.73
1394,17497.52
1395,3218.61
1396,23207.27
1397,8032.4
1398,13918.53
1399,8966.31
1400,11981.98
1401,5532.63
1402,11660.57
1403,2886.45
1404,12741.85
1405,5398.1
1406,7285.03
1407,17651.96
1408,17029.89
1409,2491.26
1410,4039.32
1411,2619.34
1412,5049.69
1413,4983.46
1414,2530.64
1415,7396.72
1416,3832.9
1417,4961.41
1418,3861.49
1419,22658.54
1420,10408.97
1421,4834.71
1422,8257.67
1423,3052.63
1424,4012.32
1425,13355.49
1426,2364.43
1427,2489.34
1428,4755.72
1429,13864.38
1430,3020.42
1431,6285.31
1432,2506.02
1433,2826.31
1434,4369.72
1435,12174.59
1436,3528.04
1437,10436.57
1438,2746.12
1439,9175.17
1440,4979.08
1441,2585.94
1442,9449.75
1443,4568.82
1444,2574.02
1445,8789.88
1446,2507.41
1447,2522.41
1448,7542.71
1449,6005.21
1450,20998.26
1451,2345.08
1452,8783.17
1453,4529.97
1454,6033.22
1455,5308.25
1456,2674.73
1457,4929.81
1458,14131.12
1459,2471.53
1460,6005.21
1461,14082.64
1462,19116.57
1463,6631.67
1464,7432.3
1465,2928.12
1466,46611.87
1467,16515.01
1468,8609.16
1469,10213.56
1470,10049.29
1471,5746.15
1472,3746.75
1473,7486.07
1474,9120.07
1475,5678.05
1476,7517.08
1477,4530.53
1478,2691.38
1479,8068.62
1480,2478.58
1481,9112.04
1482,2772.44
1483,4305.79
1484,5103.36
1485,4784.96
1486,10541.11
1487,2179.43
1488,7610.84
1489,8510.53
1490,16172.94
1491,2425.49
1492,2899.32
1493,3633.05
1494,3457.15
1495,3394.72
1496,3781.45
1497,5841.53
1498,5479.85
1499,20455.25
1500,8319.12
1501,5181.62
1502,4163.79
1503,4853.1
1504,7531.7
1505,3280.46
1506,32961.15
1507,2684.58
1508,10392.96
1509,9036.66
1510,5352.19
1511,11880.97
1512,2557.09
1513,7914.82
1514,9840.08
1515,4351.55
1516,22207.83
1517,4825.26
1518,6947.84
1519,3344.81
1520,2357.5
1521,35944.71
1522,10408.97
1523,4048.16
1524,6852.0
1525,2903.02
1526,18039.11
1527,3242.04
1528,2467.62
1529,5674.38
1530,8634.36
1531,2780.2
1532,22056.0
1533,2514.59
1534,5886.22
1535,7706.04
1536,2790.46
1537,2397.04
1538,8834.32
1539,14435.67
1540,6871.97
1541,15362.35
1542,4834.8
1543,10899.3
1544,5284.04
1545,2891.73
1546,4900.55
1547,20842.6
1548,8415.64
1549,6630.84
1550,12036.62
1551,3895.03
1552,11701.07
1553,3419.11
1554,7302.78
1555,19685.41
1556,2486.06
1557,5224.33
1558,49221.43
1559,3167.89
1560,7805.31
1561,13197.93
1562,6234.31
1563,7539.6
1564,8157.93
1565,13156.75
1566,5107.62
1567,5339.39
1568,8649.18
1569,7519.13
1570,4293.01
1571,4529.06
1572,13160.34
1573,13235.54
1574,3744.58
1575,28486.07
1576,2644.68
1577,5073.28
1578,4272.59
1579,11003.02
1580,14181.64
1581,8875.97
1582,11077.69
1583,2435.69
1584,8743.85
1585,2409.76
1586,2499.5
1587,8528.29
1588,3592.0
1589,8539.83
1590,6990.92
1591,3979.39
1592,23950.37
1593,2321.05
1594,5087.02
1595,4362.93
1596,7457.47
1597,7027.76
1598,2831.68
1599,4217.86
1600,7596.29
1601,8365.68
1602,2726.39
1603,3420.45
1604,4839.11
1605,4358.55
1606,7255.95
1607,23515.85
1608,8396.33
1609,5170.98
1610,5585.31
1611,8639.5
1612,5281.83
1613,8385.25
1614,4633.1
1615,2480.39
1616,3618.69
1617,2480.05
1618,4893.29
1619,10737.68
1620,2616.61
1621,15725.25
1622,9553.42
1623,7507.46
1624,7324.93
1625,5333.04
1626,12767.23
1627,2829.86
1628,3483.63
1629,4636.55
1630,17530.04
1631,6978.72
1632,2912.25
1633,4209.28
1634,5009.81
1635,5217.51
1636,11490.34
1637,2864.54
1638,8403.91
1639,20395.97
1640,36470.3
1641,16727.77
1642,5801.13
1643,9472.97
1644,10484.92
1645,4387.31
1646,4522.88
1647,5418.15
1648,5246.06
1649,15785.3
1650,22110.4
1651,9540.92
1652,4756.13
1653,2447.05
1654,5675.92
1655,2491.26
1656,7308.43
1657,32871.75
1658,5228.92
1659,20700.86
1660,5800.17
1661,4330.39
1662,6292.74
1663,4917.89
1664,5165.81
1665,6291.59
1666,4582.67
1667,6062.44
1668,3417.2
1669,5830.56
1670,3742.58
1671,3849.6
1672,15265.81
1673,5317.81
1674,2374.81
1675,5639.94
1676,3362.41
1677,4512.2
1678,7264.8
1679,8658.86
1680,5498.94
1681,5599.38
1682,15228.2
1683,3644.83
1684,3693.44
1685,8742.06
1686,5275.63
1687,9283.74
1688,2551.23
1689,5811.92
1690,4064.67
1691,2841.44
1692,6832.13
1693,5201.97
1694,5484.59
1695,7672.68
1696,8272.49
1697,3330.67
1698,5562.46
1699,2452.74
1700,7920.28
1701,3861.49
1702,5764.78
1703,5375.84
1704,2882.35
1705,2213.19
1706,9429.63
1707,6239.26
1708,7668.81
1709,13770.98
1710,2742.84
1711,13466.92
1712,8858.35
1713,8485.33
1714,7744.64
1715,5894.91
1716,5770.68
1717,5261.12
1718,2403.54
1719,9124.6
1720,26180.81
1721,15641.26
1722,2574.02
1723,5319.84
1724,7496.01
1725,12174.59
1726,2605.57
1727,2707.21
1728,5528.21
1729,8819.02
1730,19014.48
1731,8169.51
1732,7708.88
1733,5528.21
1734,12128.45
1735,9080.28
1736,6796.84
1737,2867.31
1738,2395.57
1739,7094.17
1740,4128.09
1741,4046.94
1742,4869.28
1743,2902.15
1744,4282.95
1745,7750.12
1746,6627.17
1747,7474.61
1748,5561.29
1749,6098.46
1750,2859.53
1751,5994.42
1752,5635.25
1753,5067.21
1754,2263.28
1755,14435.67
1756,4928.4
1757,12036.62
1758,8564.77
1759,2361.88
1760,5565.69
1761,5146.81
1762,2938.08
1763,14432.75
1764,13027.42
1765,2451.99
1766,4661.98
1767,5600.01
1768,4016.13
1769,22195.8
1770,7343.35
1771,4804.51
1772,2735.54
1773,6940.97
1774,2396.22
1775,5380.9
1776,8432.82
1777,7556.51
1778,7787.43
1779,4787.81
1780,9707.65
1781,2552.23
1782,5223.43
1783,5010.45
1784,5597.12
1785,4457.94
1786,8200.79
1787,2746.08
1788,10215.78
1789,2453.57
1790,5872.96
1791,3118.93
1792,5568.66
1793,9029.71
1794,7591.83
1795,2255.31
1796,32613.69
1797,9445.65
1798,6803.6
1799,9766.22
1800,7294.85
1801,5682.52
1802,6332.94
1803,4916.58
1804,4798.24
1805,10408.97
1806,9247.46
1807,7322.93
1808,8275.9
1809,5635.4
1810,14970.29
1811,9336.34
1812,48356.96
1813,5686.92
1814,8622.84
1815,5079.67
1816,5623.31
1817,5270.01
1818,8621.17
1819,7918.33
1820,21034.02
1821,15417.68
1822,8692.64
1823,6503.14
1824,31642.1
1825,5914.95
1826,4645.84
1827,6826.8
1828,3982.18
1829,2887.78
1830,2252.42
1831,8458.53
1832,7478.31
1833,3788.65
1834,5220.69
1835,7130.29
1836,8513.59
1837,5660.13
1838,4082.17
1839,5318.9
1840,4160.16
1841,2237.35
1842,3460.12
1843,16005.51
1844,6986.6
1845,8826.96
1846,4726.87
1847,27443.47
1848,7247.31
1849,5137.85
1850,2739.06
1851,5092.79
1852,5799.83
1853,5507.06
1854,10484.92
1855,8501.28
1856,8426.06
1857,6503.4
1858,46805.22
1859,4834.71
1860,2575.32
1861,37111.66
1862,4371.19
1863,16796.34
1864,7988.51
1865,2269.84
1866,4991.47
1867,2921.93
1868,7613.19
1869,5827.41
1870,2600.64
1871,8491.47
